,0,1,2,3,4
0,0.923419311,0.74905482,0.635416635,0.777777778,0.815533981
1,0.865584648,0.822444107,0.563004552,0.838461538,0.872
2,0.906830309,0.800863465,0.509485025,0.769230769,0.866141732
3,0.894959838,0.726939971,0.377869167,0.455357143,0.772727273
4,0.904747339,0.813622754,0.455794793,0.602564103,0.796610169
5,0.853161522,0.831301319,0.634184309,0.674641148,0.915584416
6,0.888723345,0.8047105,0.2854819,0.452173913,0.866666667
7,0.897890541,0.839582053,0.386137658,0.627737226,0.87755102
8,0.844977691,0.790772966,0.45536365,0.616113744,0.872483221
9,0.854877935,0.727110317,0.38542678,0.543956044,0.818181818
10,0.770003865,0.723197782,0.716642229,0.894736842,0.825242718
11,0.873919308,0.766398929,0.287662168,0.422535211,0.845070423
12,0.822416238,0.773878777,0.592564336,0.802919708,0.814814815
13,0.849665924,0.679845709,0.566037556,0.714285714,0.774647887
,,,,0.656606492,0.838089724
