,0
0,822.0
1,9014.0
2,0.8535448796183291
3,0.5637304260911413
4,0.31130138371904836
5,0.7404912151142493
6,0.17105263157894735
7,0.053969182124332694
8,0.9348499412581438
9,0.11954022988505747
10,0.053969182124332694
11,0.1454545454545455
12,0.3076923076923077
13,47.0
14,18.0
15,26.0
16,435.0
17,18291.0
18,17506.0
19,52.0
20,4.995730145175064
21,10.567890691716482
