,0,1,2,3,4,5
0,100,10,20,100,10,20
1,10,50,20,10,50,20
2,10,100,20,10,100,20
3,10,100,20,10,100,20
4,30,10,20,30,10,20
5,250,50,20,250,50,20
6,10,100,20,10,100,20
7,10,50,20,10,50,20
8,10,100,20,10,100,20
9,10,100,20,10,100,20
10,10,50,20,10,50,20
11,250,20,20,250,20,20
12,100,30,20,100,30,20
13,10,100,20,10,100,20
