,0,1,2,3,4,5
0,50,1000,10,50,1000,10
1,500,50,20,500,50,20
2,50,250,10,50,250,10
3,1000,50,10,1000,50,10
4,50,50,10,50,50,10
5,250,50,10,250,50,10
6,50,250,10,50,250,10
7,50,50,20,50,50,20
8,500,150,10,500,150,10
9,1000,50,10,1000,50,10
10,50,50,10,50,50,10
11,1000,150,10,1000,150,10
12,50,50,10,50,50,10
13,50,1000,10,50,1000,10
