,0,1,2,3,4,,,
0,0.874499256,0.851467153,0.467094426,50,0.704225352,,,10sÆ¬¶ÎÊý¾Ý
1,0.839264851,0.757918202,0.507370648,50,6.349206349,,,
2,0.888657036,0.896517682,0.460546912,100,6.831243469,,,after optimization
3,0.842312456,0.710056431,0.279950843,62.5,3.03030303,,,
4,0.907873515,0.059651192,0.012347571,12.5,4.166666667,,,
5,0.848324862,0.674665624,0.18235289,100,16.07142857,,,
6,0.760884544,0.721463991,0.34529097,100,23.07692308,,,
7,0.912805898,0.789879019,0.481772235,50,2.857142857,,,
8,0.834143088,0.398969644,0.131132001,50,10.78431373,,,
9,0.860859579,0.742744908,0.641873466,0,0,,,
10,0.875366401,0.638655462,0.141667877,75,12.38095238,,,
11,0.897143924,0.795552388,0.311197687,40,10,,,
12,0.880288758,0.850808881,0.348517238,92.85714286,28.74579125,,,
13,0.824958422,0.729170875,0.128029134,70.83333333,31.73076923,,,
14,0.837170002,0.578348276,0.163384769,100,5.933484505,,,
15,0.897738163,0.343289086,0.124201029,50,8.333333333,,,
16,0.801299589,0.802459306,0.390759168,100,15.13157895,,,
17,0.816151478,0.752747909,0.321698231,100,3.954248366,,,
18,0.72721737,0.745800432,0.652061949,100,2.775707899,,,
19,0.860913824,0.781533146,0.271724404,50,8.490566038,,,
20,0.820023097,0.822167861,0.584069063,100,50.89330439,,,
21,0.796675151,0.736632917,0.47516982,50,3.333333333,,,
,0.84566233,0.690022745,0.337373288,68.3495671,11.61702376,,,
