,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,7489.0,1032.5,0.9007903739530494,0.8516958914629464,0.8158888404844133,0.8099933143130904,0.8441047097528289,0.6514412783425898,0.9267243786651773,0.8105990783410139,0.6514412783425898,0.8016528925619835,0.9150943396226415,24.0,9.0,106.0,2170.0,15735.0,16593.0,1759.0,21.300586101032653,24.314819983254257
1,8643.0,2268.5,0.8385087478244939,0.7938289657644696,0.8386346487574121,0.8023050158876259,0.8614001343179656,0.6922517172482674,0.8829182279039013,0.7786357786357786,0.6922517172482674,0.8372093023255813,0.8537549407114624,42.0,37.0,253.0,4662.0,18023.0,20029.0,3630.0,40.13218770654329,40.92531394580304
2,8194.5,933.0,0.8700339279851155,0.8165864357452968,0.7198137267940825,0.7947107536670225,0.8750899179583995,0.5180767894821428,0.9123660130718955,0.8121964382083109,0.5154219222255056,0.7466666666666666,0.8818897637795275,38.0,15.0,127.0,1853.0,17272.0,17449.0,1505.0,23.89338907760648,28.220538280637573
3,10427.5,660.5,0.8410873440285205,0.6728679115553282,0.5557081032317839,0.7081152158514497,0.8611496570141908,0.3545177986995199,0.9045138888888888,0.6881644223954642,0.3545177986995199,0.4504504504504504,0.7246376811594203,61.0,19.0,69.0,1411.0,21629.0,20840.0,971.0,10.776572668112799,17.336225596529285
4,8799.0,113.0,0.9159306875349358,0.05113636363636364,0.052941176470588235,0.4847202034883721,0.2692307692307692,0.014056224899598393,0.9712145532370251,0.03365384615384615,0.014056224899598393,0.07692307692307687,0.0625,12.0,15.0,16.0,208.0,18482.0,18152.0,7.0,3.0802139037433154,2.5026737967914436
5,11898.5,620.5,0.8479761904761904,0.608158773419329,0.47152974504249295,0.6555738276113623,0.8729974372246279,0.24758933001472228,0.8862162162162163,0.6527229676400947,0.24758933001472228,0.39097744360902253,0.7222222222222222,81.0,20.0,72.0,1267.0,24633.0,22953.0,827.0,10.003859513701274,18.479351601698188
6,9676.0,1578.0,0.7506008010680908,0.533396579513279,0.5501448022101701,0.6243640734363612,0.7408819250924514,0.32223710572752,0.8015404364569961,0.6035502958579881,0.32223710572752,0.5598290598290598,0.6649746192893401,103.0,66.0,197.0,3211.0,20159.0,18732.0,1938.0,30.33361847733105,36.030795551753634
7,7254.5,677.5,0.863147792706334,0.7791401450081733,0.6385197860371843,0.741891546673348,0.8740747865213646,0.49411485742394307,0.9161984459055589,0.7747005988023952,0.4882147017290698,0.6617647058823529,0.7627118644067796,23.0,14.0,59.0,1336.0,15394.0,15328.0,1035.0,12.688172043010752,14.623655913978494
8,10358.0,604.0,0.8028263795423958,0.6428777859068033,0.4828719409373013,0.6652101946039921,0.7411733743622966,0.25614431287747996,0.8784115840280825,0.5593900481540931,0.25614431287747996,0.3529411764705882,0.6363636363636364,77.0,24.0,66.0,1246.0,21544.0,20019.0,697.0,10.421052631578949,18.789473684210527
9,7822.5,1948.0,0.8042746378290144,0.818642578454116,0.7643564828324448,0.7608111469235155,0.8539399624765478,0.6038932386012577,0.8497917177162461,0.8012062726176116,0.6028222471691891,0.6682242990654206,0.9050632911392404,71.0,15.0,158.0,4145.0,16260.0,17340.0,3321.0,27.861866274797944,37.73695811903013
10,10526.5,317.0,0.8373510667775007,0.5639190065795571,0.31588314662595207,0.6455044869591453,0.7685840356177452,0.1692823608316566,0.9106628242074928,0.5334346504559271,0.1692823608316566,0.2948717948717948,0.6216216216216216,55.0,14.0,37.0,658.0,21897.0,20540.0,351.0,5.902947041879016,12.444050520717926
11,9997.0,501.0,0.8051269990592662,0.6635466421647133,0.4305975854554969,0.7184146425576938,0.8292092468826594,0.29275329395729216,0.9064958828911254,0.6177606177606177,0.29275329395729216,0.42391304347826086,0.639344262295082,53.0,22.0,61.0,1036.0,20824.0,19816.0,640.0,10.041152263374485,15.1440329218107
12,11002.5,798.0,0.884168269632851,0.7806342294993472,0.6845560934655412,0.6690423830613007,0.9163444905328211,0.38136784539788016,0.8994073165746985,0.7734706238643246,0.37921001555817613,0.6230769230769231,0.81,49.0,19.0,100.0,1651.0,22814.0,22004.0,1277.0,14.70888661899898,19.121552604698675
13,7935.0,266.0,0.8393402565668906,0.2523009119700843,0.30684008320327516,0.718323605116058,0.6350943396226415,0.20841809763389113,0.9323682686740011,0.21153846153846154,0.20841809763389113,0.20512820512820518,0.24242424242424243,31.0,25.0,33.0,572.0,16698.0,16102.0,121.0,6.875,8.125
14,11590.0,595.0,0.7363562423749492,0.5964006942165887,0.3761822026899741,0.6222875000004733,0.7971839140962207,0.16622527534246725,0.8306656101426307,0.5483091787439613,0.16622527534246725,0.2705882352941177,0.5897435897435898,124.0,32.0,78.0,1242.0,23998.0,20966.0,681.0,11.12079207920792,24.237623762376238
15,8908.0,214.0,0.8472515269294836,0.49147324784865554,0.2866882995785312,0.6758110529138567,0.4272045028142589,0.0954967541461417,0.9179487179487179,0.2689655172413793,0.0954967541461417,0.21276595744680848,0.3846153846153846,37.0,16.0,26.0,435.0,18675.0,17542.0,117.0,4.895397489539749,8.849372384937238
16,7744.0,1205.0,0.8013210798391729,0.7510455361849768,0.7147066475986696,0.6785644325033472,0.8757825924393814,0.41698971021141906,0.8309168443496802,0.7795337811141841,0.4147856799847188,0.6213592233009708,0.8421052631578947,78.0,24.0,152.0,2531.0,16229.0,15588.0,1973.0,29.15290356952584,39.50985615343634
17,9349.5,1101.0,0.7395983472662631,0.7864928950507356,0.5832569852301626,0.7044217978948097,0.7827172732950758,0.36387348871310604,0.8361589708247186,0.7055971793741737,0.36387348871310604,0.5135135135135135,0.7723577235772358,90.0,28.0,123.0,2269.0,19496.0,18199.0,1601.0,20.33524684270953,30.58553386911596
18,1337.5,1007.5,0.8133037694013303,0.7736932253856342,0.9872813129275095,0.7151848867400842,0.7382124134214928,0.7266271208907742,0.7420863309352518,0.6025360734586795,0.7245062301166489,0.8888888888888888,0.7407407407407407,10.0,28.0,108.0,2287.0,3273.0,4126.0,1378.0,69.80251346499102,58.16876122082585
19,10171.0,693.0,0.8394243947007767,0.6835482447294856,0.5755648711021675,0.7431735784300865,0.7829470532652433,0.39876110777953444,0.9108012394864985,0.6355382619974059,0.39876110777953444,0.5360824742268041,0.7027027027027026,45.0,22.0,74.0,1542.0,21048.0,20575.0,980.0,11.787610619469026,15.451327433628318
20,8421.5,2620.0,0.8206737716763006,0.786892287452006,0.8352434562186274,0.6968891335964373,0.8792994262832916,0.5917572124391157,0.8197428633689257,0.7934176273707698,0.5890494373654056,0.7869415807560137,0.8357664233576643,62.0,45.0,274.0,5378.0,17567.0,18809.0,4267.0,42.971030276628184,45.637116096710955
21,5870.5,1521.5,0.7778767123287671,0.6684726066406234,0.8048481257211881,0.7617672298399962,0.8022168425749736,0.6259004493003876,0.8543769968051118,0.6419987349778621,0.6259004493003876,0.7291666666666667,0.7241379310344828,39.0,40.0,145.0,3162.0,12488.0,13371.0,2030.0,33.333333333333336,33.10344827586207
22,8791.613636363636,967.0227272727273,0.8262258781591677,0.6530341344631142,0.5814571846643166,0.6998672737304287,0.774038127490784,0.39053524408912305,0.8810530541245735,0.7026111311890134,0.3896799468028586,0.5969899665551839,0.7647814910025708,1205.0,549.0,2334.0,44272.0,404138.0,395073.0,31106.0,18.737790464296864,24.004281700191783
