,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,7652.5,1059.5,0.8629079769058561,0.773284085630021,0.7586248432297823,0.7994644094548815,0.879284176985214,0.6094723048139963,0.9186829490983793,0.7783553875236295,0.6094723048139963,0.7478260869565218,0.8349514563106796,29.0,17.0,103.0,2116.0,15408.0,16099.0,1647.0,21.147484886506216,23.611269533477813
1,8996.0,2382.0,0.851042037762736,0.7687156425351591,0.8012727421199912,0.7601008700049596,0.8170473948959343,0.5576655987139283,0.8655057752887645,0.8148614609571788,0.5576655987139283,0.8198529411764706,0.87109375,49.0,33.0,256.0,4764.0,18092.0,19782.0,3882.0,40.30438205195487,42.82340593020205
2,8396.0,941.0,0.8808536186005894,0.8227442819122326,0.7480556345099612,0.770096441564523,0.8606817946862401,0.5121710029345921,0.9043788621350948,0.8070175438596491,0.5121710029345921,0.7466666666666666,0.8682170542635659,38.0,17.0,129.0,1881.0,16891.0,16977.0,1518.0,24.725801299116174,28.750931743158343
3,7476.5,677.5,0.8501846428116644,0.819744229834979,0.6300786770558645,0.7440470362356877,0.8920074163565257,0.4750980797490596,0.9099719614775083,0.812125748502994,0.4699199633296333,0.618421052631579,0.7966101694915254,29.0,12.0,59.0,1336.0,15070.0,14929.0,1085.0,12.938596491228072,16.666666666666668
4,8070.0,2017.0,0.8224252158201164,0.803909797005741,0.8241432892019647,0.7919298120584695,0.8509382566585957,0.6612416997162152,0.8634704547696557,0.7911706349206349,0.6612416997162152,0.696969696969697,0.8961038961038961,60.0,16.0,154.0,4032.0,16242.0,17506.0,3190.0,27.33188720173536,35.140997830802604
5,10356.5,564.5,0.7792513863216266,0.7734540292113563,0.40452366075832813,0.6965409067011605,0.8191174346381627,0.2648530833209168,0.8788969917958067,0.7413640389725421,0.2648530833209168,0.4380165289256198,0.791044776119403,68.0,14.0,67.0,1129.0,20811.0,19283.0,837.0,10.98861047835991,19.84510250569476
6,11186.5,813.5,0.8773333333333333,0.8476014123249065,0.6821109854300167,0.6675387729112657,0.9070054945054945,0.36750389222597213,0.8895435684647303,0.844499078057775,0.36750389222597213,0.6,0.8877551020408163,58.0,11.0,98.0,1627.0,22473.0,21438.0,1374.0,14.632932393197844,21.650767316466197
7,8102.0,278.0,0.8428484107579461,0.474150808852616,0.34175294679834345,0.6524103601280519,0.7880106444188723,0.1824440472015978,0.9114472123368921,0.4781021897810219,0.1824440472015978,0.32727272727272727,0.5806451612903225,37.0,13.0,31.0,548.0,16312.0,15367.0,262.0,6.615293420272674,11.73681090693539
8,8585.0,2647.0,0.822624311885209,0.7635712422640077,0.8360777582548319,0.710790171208927,0.85291380825093,0.6038786946540957,0.8254144136158142,0.7738363363363363,0.6016716157090489,0.8036363636363637,0.8185185185185185,54.0,49.0,270.0,5328.0,17234.0,18623.0,4123.0,43.0622009569378,43.85964912280702
9,8757.888888888889,1264.4444444444443,0.843274548244342,0.7607972810634466,0.6696267263732314,0.7325465311408808,0.8518896023773299,0.4704809337033749,0.8825664390437632,0.7872237599402486,0.46966035644065557,0.7000710732054016,0.8440445586975149,422.0,182.0,1167.0,22761.0,158533.0,160004.0,17918.0,23.172130785862418,27.937607554163172
