,0,1,2
0,10,200,10
1,10,200,10
2,200,50,10
3,10,100,30
4,100,25,10
5,50,10,10
6,10,200,10
7,200,50,10
8,10,100,10
9,200,25,30
10,10,200,10
11,10,200,10
12,10,10,30
13,10,200,10
14,10,200,30
15,50,10,30
16,10,200,10
17,10,100,10
18,200,10,10
19,10,50,10
20,10,10,10
21,10,100,10
