,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,7282.0,997.0,0.8863046044864227,0.7904575662153113,0.8305042316071728,0.8002209082863748,0.8507665435631537,0.6523430391264786,0.9201740076128331,0.7598039215686274,0.6523430391264786,0.7913043478260869,0.8198198198198199,24.0,20.0,111.0,2244.0,16146.0,16922.0,1705.0,21.717391304347828,22.5
1,8684.0,2262.0,0.8546387154326494,0.780818329982059,0.8701472917639177,0.7794004214472312,0.8566396248077465,0.6768827378829012,0.8737774030354132,0.7496019108280255,0.6768827378829012,0.844106463878327,0.8072727272727273,41.0,53.0,275.0,5024.0,18696.0,20726.0,3766.0,41.719342604298355,39.89886219974716
2,8000.0,916.5,0.8782632441288913,0.7315345634903789,0.8184523419413512,0.7788039392905787,0.8565709667267474,0.5804907477659753,0.9200956207720868,0.729923273657289,0.5804907477659753,0.7851851851851852,0.7681159420289855,29.0,32.0,138.0,1955.0,17706.0,18090.0,1427.0,25.25545218850084,24.706420619185604
3,10318.5,661.5,0.8381578947368421,0.6631350236395661,0.5772944605078504,0.7311440761615224,0.853072748974413,0.37518965962377127,0.9108403361344538,0.6398625429553264,0.37518965962377127,0.4949494949494949,0.6805555555555556,50.0,23.0,72.0,1455.0,22345.0,21678.0,931.0,10.886182276354473,14.9685006299874
4,8578.5,107.0,0.8646796657381616,0.07835820895522388,0.025883319638455218,0.666882374511961,0.0,0.0,0.9369303682099891,0.0,0.0,0.0,0.0,28.0,21.0,21.0,252.0,18949.0,17990.0,0.0,3.935245432304409,5.246993909739212
5,11732.5,612.5,0.8299842395587076,0.7058167520386674,0.4817515182252497,0.6672834510980408,0.7953335503622081,0.26166834910290404,0.8820580474934037,0.6185784658691063,0.26166834910290404,0.40601503759398494,0.675,79.0,26.0,80.0,1421.0,25109.0,23401.0,879.0,10.851544837980407,18.04069329314243
6,9612.5,1581.0,0.7693993862341079,0.688569939354666,0.63318280161454,0.6476030824534038,0.7324622423575319,0.3880503121257741,0.8159101234975837,0.5850320326150262,0.3880503121257741,0.5738396624472574,0.6384976525821596,101.0,77.0,213.0,3434.0,20777.0,19754.0,2009.0,31.658478180091656,35.2256306510879
7,7118.0,674.0,0.8508196721311475,0.804506101369467,0.6410320291366,0.7471387525209017,0.8685897994579002,0.49931121196637707,0.9130959218839747,0.7944743935309974,0.49931121196637707,0.6746987951807228,0.8,27.0,14.0,70.0,1484.0,15926.0,15897.0,1179.0,14.466130884041332,17.152698048220437
8,10376.5,573.5,0.805057167985928,0.7411988126730582,0.4549036853487551,0.6762792807271427,0.7470017643113354,0.25104456549861487,0.8783487784330244,0.613618974751339,0.25104456549861487,0.3555555555555555,0.6956521739130435,87.0,21.0,69.0,1307.0,22433.0,20852.0,802.0,10.458947368421052,20.46315789473684
9,7718.5,1935.0,0.818149824032177,0.8185888971290424,0.7868174536290262,0.7673654201516749,0.8408291224124103,0.6221742962392522,0.855777872380682,0.7598294647086689,0.6221742962392522,0.6995073891625616,0.8402366863905325,61.0,27.0,169.0,4222.0,16919.0,18092.0,3208.0,28.76459741856177,34.55155784596473
